app_name,year,recommendations
Left 4 Dead 2,2015,152
Left 4 Dead 2,2014,406
Left 4 Dead 2,2013,323
Left 4 Dead 2,2011,12
Left 4 Dead 2,2010,2
Dungeon Defenders,2013,15
Dungeon Defenders,2014,19
Dungeon Defenders,2015,10
Dungeon Defenders,2012,12
Dungeon Defenders,2011,2
Half-Life 2,2012,19
Half-Life 2,2011,9
Half-Life 2,2013,57
Half-Life 2,2015,48
Half-Life 2,2014,109
Team Fortress 2,2014,2255
Team Fortress 2,2012,392
Team Fortress 2,2015,937
Team Fortress 2,2013,1201
Team Fortress 2,2011,116
Team Fortress 2,2010,18
Rocket League®,2015,178
Unturned,2014,744
Unturned,2015,386
Garry's Mod,2013,479
Garry's Mod,2014,1075
Garry's Mod,2015,464
Garry's Mod,2012,63
Garry's Mod,2011,27
Garry's Mod,2010,4
Magicka,2012,3
Magicka,2015,21
Magicka,2014,49
Magicka,2013,24
Magicka,2011,6
Killing Floor 2,2015,131
Dota 2,2013,364
Dota 2,2015,424
Dota 2,2014,970
Dota 2,2012,53
Dota 2,2011,4
PAYDAY 2,2015,403
PAYDAY 2,2014,598
PAYDAY 2,2013,135
No More Room in Hell,2013,112
No More Room in Hell,2014,159
No More Room in Hell,2015,60
Borderlands 2,2013,136
Borderlands 2,2014,444
Borderlands 2,2015,125
Borderlands 2,2012,29
Kerbal Space Program,2015,52
Kerbal Space Program,2014,103
Kerbal Space Program,2013,46
Pid,2014,7
Sniper Elite 3,2015,15
Sniper Elite 3,2014,13
Vector Thrust,2015,2
Halo: Spartan Assault,2014,26
Halo: Spartan Assault,2015,5
BioShock Infinite,2015,76
BioShock Infinite,2014,210
BioShock Infinite,2013,95
Kingdom: Classic,2015,4
Arma 2: Operation Arrowhead,2013,34
Arma 2: Operation Arrowhead,2012,16
Arma 2: Operation Arrowhead,2014,47
Arma 2: Operation Arrowhead,2015,26
Arma 2: Operation Arrowhead,2011,4
Elite Dangerous,2015,24
Chivalry: Medieval Warfare,2015,59
Chivalry: Medieval Warfare,2014,91
Chivalry: Medieval Warfare,2013,82
Chivalry: Medieval Warfare,2012,5
Mini Metro,2015,14
Mini Metro,2014,4
Loadout,2015,24
Loadout,2014,434
Loadout,2013,15
Injustice: Gods Among Us Ultimate Edition,2014,9
Injustice: Gods Among Us Ultimate Edition,2013,3
Injustice: Gods Among Us Ultimate Edition,2015,5
DayZ,2015,113
DayZ,2014,524
DayZ,2013,101
Everlasting Summer,2014,14
Everlasting Summer,2015,8
TERA,2015,48
Mount & Blade: Warband,2014,119
Mount & Blade: Warband,2012,17
Mount & Blade: Warband,2015,83
Mount & Blade: Warband,2013,43
Mount & Blade: Warband,2011,4
Mount & Blade: Warband,2010,2
BattleBlock Theater®,2015,59
BattleBlock Theater®,2014,119
Bad Rats: the Rats' Revenge,2014,27
Bad Rats: the Rats' Revenge,2015,49
Bad Rats: the Rats' Revenge,2013,7
The Binding of Isaac,2012,15
The Binding of Isaac,2014,148
The Binding of Isaac,2013,50
The Binding of Isaac,2015,23
The Binding of Isaac,2011,2
South Park™: The Stick of Truth™,2015,29
South Park™: The Stick of Truth™,2014,91
Terraria,2012,62
Terraria,2013,221
Terraria,2015,296
Terraria,2014,382
Terraria,2011,36
Portal 2,2012,46
Portal 2,2015,112
Portal 2,2014,204
Portal 2,2013,113
Portal 2,2011,45
Double Action: Boogaloo,2014,25
Double Action: Boogaloo,2015,32
Cry of Fear,2015,26
Cry of Fear,2014,37
Cry of Fear,2013,30
Block N Load,2015,20
Block N Load,2014,5
Don't Starve Together,2015,114
Don't Starve Together,2014,24
Grand Theft Auto III,2015,3
Grand Theft Auto III,2013,2
Grand Theft Auto III,2014,2
Castle Crashers®,2015,72
Castle Crashers®,2014,133
Castle Crashers®,2013,28
Castle Crashers®,2012,6
Source Filmmaker,2015,36
Source Filmmaker,2014,84
Source Filmmaker,2013,21
Source Filmmaker,2012,7
Toribash,2015,39
Toribash,2014,60
The Escapists,2015,45
The Escapists,2014,16
Assetto Corsa,2014,14
Assetto Corsa,2015,6
Assetto Corsa,2013,2
Tiki Man,2015,2
Bloody Trapland,2015,1
Bloody Trapland,2014,5
Bloody Trapland,2013,2
The Stanley Parable,2013,32
The Stanley Parable,2014,75
The Stanley Parable,2015,16
Ultimate Doom,2013,2
Ultimate Doom,2015,3
Ultimate Doom,2014,4
Emily is Away,2015,166
Insurgency,2014,136
Insurgency,2015,105
Insurgency,2013,7
Fallout 4,2015,179
Rust,2015,217
Rust,2014,560
Rust,2013,59
Banished,2015,20
Banished,2014,49
Long Live The Queen,2014,12
Long Live The Queen,2013,4
Long Live The Queen,2015,2
Reign Of Kings,2015,40
DARK SOULS™ II,2014,74
DARK SOULS™ II,2015,11
Rocket League® - Revenge of the Battle-Cars DLC Pack,2015,2
Hotline Miami,2013,29
Hotline Miami,2015,44
Hotline Miami,2014,74
Game Dev Tycoon,2014,53
Game Dev Tycoon,2015,27
Game Dev Tycoon,2013,33
Mirror's Edge™,2012,12
Mirror's Edge™,2015,18
Mirror's Edge™,2014,45
Mirror's Edge™,2013,12
Mirror's Edge™,2010,2
Yet Another Zombie Defense,2015,23
Yet Another Zombie Defense,2014,37
Depth,2015,46
Depth,2014,19
Dirty Bomb®,2015,139
Star Conflict,2014,28
Star Conflict,2015,12
Star Conflict,2013,6
Pixel Piracy,2014,19
Pixel Piracy,2013,6
Pixel Piracy,2015,5
Five Nights at Freddy's 2,2014,40
Five Nights at Freddy's 2,2015,38
Life is Strange - Episode 1,2015,172
STAR WARS™ Jedi Knight - Jedi Academy™,2015,5
STAR WARS™ Jedi Knight - Jedi Academy™,2014,10
STAR WARS™ Jedi Knight - Jedi Academy™,2012,2
Saints Row: The Third,2015,47
Saints Row: The Third,2014,71
Saints Row: The Third,2013,60
Saints Row: The Third,2012,6
Saints Row: The Third,2011,2
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2014,4
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2015,3
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2015,30
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2012,8
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2014,52
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2013,34
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011,4
War Thunder,2015,109
War Thunder,2014,151
War Thunder,2013,70
Killing Floor: Uncovered,2015,11
FTL: Faster Than Light,2013,39
FTL: Faster Than Light,2014,107
FTL: Faster Than Light,2015,40
FTL: Faster Than Light,2012,11
Undertale,2015,164
APB Reloaded,2015,34
APB Reloaded,2013,26
APB Reloaded,2014,52
APB Reloaded,2011,4
APB Reloaded,2012,3
XCOM: Enemy Unknown,2015,32
XCOM: Enemy Unknown,2014,66
XCOM: Enemy Unknown,2013,32
XCOM: Enemy Unknown,2012,3
Realm of the Mad God,2013,29
Realm of the Mad God,2014,117
Realm of the Mad God,2015,51
Realm of the Mad God,2012,21
Trove,2015,139
Epic Battle Fantasy 4,2014,9
Epic Battle Fantasy 4,2015,3
One Finger Death Punch,2014,29
One Finger Death Punch,2015,19
Sanctum 2,2014,45
Sanctum 2,2015,12
Sanctum 2,2013,8
Eternal Senia,2015,23
Need For Speed: Hot Pursuit,2013,2
Need For Speed: Hot Pursuit,2015,3
Need For Speed: Hot Pursuit,2014,8
Need For Speed: Hot Pursuit,2012,2
theHunter Classic,2014,23
theHunter Classic,2015,20
Strife®,2015,10
America's Army: Proving Grounds,2013,6
America's Army: Proving Grounds,2014,18
America's Army: Proving Grounds,2015,4
LUFTRAUSERS,2015,6
LUFTRAUSERS,2014,8
Royal Quest,2014,8
Royal Quest,2015,4
METAL SLUG 3,2014,16
METAL SLUG 3,2015,5
Heroes & Generals,2014,98
Heroes & Generals,2015,120
Synergy,2014,18
Synergy,2015,13
Synergy,2013,7
Fallen Earth Free2Play,2014,18
Fallen Earth Free2Play,2012,4
Fallen Earth Free2Play,2015,3
Fallen Earth Free2Play,2013,9
Tokyo School Life,2015,4
BioShock® 2,2015,8
BioShock® 2,2013,2
BioShock® 2,2014,9
BioShock® 2,2012,2
Surgeon Simulator,2014,52
Surgeon Simulator,2015,9
Surgeon Simulator,2013,35
Far Cry 3,2014,92
Far Cry 3,2013,36
Far Cry 3,2012,5
Far Cry 3,2015,27
Medieval Engineers,2015,13
Arma 3,2015,121
Arma 3,2013,32
Arma 3,2014,131
Gotham City Impostors Free to Play,2014,49
Gotham City Impostors Free to Play,2015,19
Gotham City Impostors Free to Play,2013,25
Gotham City Impostors Free to Play,2012,7
Miscreated,2015,2
Blacklight: Retribution,2015,35
Blacklight: Retribution,2014,75
Blacklight: Retribution,2013,42
Blacklight: Retribution,2012,20
Geometry Dash,2015,72
Geometry Dash,2014,3
Black Mesa,2015,24
CS:GO Player Profiles,2015,14
ARK: Survival Evolved,2015,224
Assassin’s Creed® Rogue,2015,7
Anarchy Arcade,2015,10
Anarchy Arcade,2014,11
Magic Duels,2015,14
Counter-Strike: Source,2013,57
Counter-Strike: Source,2014,158
Counter-Strike: Source,2011,12
Counter-Strike: Source,2015,73
Counter-Strike: Source,2012,20
Counter-Strike: Source,2010,4
Robocraft,2014,195
Robocraft,2015,144
PlanetSide 2,2015,83
PlanetSide 2,2014,232
PlanetSide 2,2013,118
PlanetSide 2,2012,24
Brawlhalla,2015,41
Brawlhalla,2014,4
Saints Row IV,2014,118
Saints Row IV,2015,73
Saints Row IV,2013,52
Evolve Stage 2,2015,29
Evolve Stage 2,2014,16
Pixel Galaxy,2015,2
One Way Heroics,2015,2
One Way Heroics,2014,4
METAL GEAR SOLID V: THE PHANTOM PAIN,2015,49
Age of Empires II HD,2015,38
Age of Empires II HD,2014,52
Age of Empires II HD,2013,21
Grand Theft Auto V,2015,292
Far Cry® 4,2015,22
Far Cry® 4,2014,19
THE KING OF FIGHTERS 2002 UNLIMITED MATCH,2015,1
Savant - Ascent,2014,4
Savant - Ascent,2015,3
Savant - Ascent,2013,4
Hero Siege,2014,8
Hero Siege,2015,5
Cubic Castles,2014,4
Stronghold Kingdoms,2014,10
Stronghold Kingdoms,2013,5
Stronghold Kingdoms,2015,6
Hacknet,2015,8
Tropico 5,2015,10
Tropico 5,2014,10
Half-Life,2013,10
Half-Life,2015,22
Half-Life,2014,35
Half-Life,2012,5
Half-Life,2011,2
Tom Clancy's Rainbow Six® Siege,2015,15
Influent,2014,6
Call of Duty®: Modern Warfare® 2,2013,16
Call of Duty®: Modern Warfare® 2,2014,48
Call of Duty®: Modern Warfare® 2,2012,10
Call of Duty®: Modern Warfare® 2,2015,30
Call of Duty®: Modern Warfare® 2,2011,2
Portal,2015,26
Portal,2014,59
Portal,2012,11
Portal,2011,17
Portal,2013,23
Portal,2010,2
"Star Wars: Battlefront 2 (Classic, 2005)",2015,38
"Star Wars: Battlefront 2 (Classic, 2005)",2014,65
"Star Wars: Battlefront 2 (Classic, 2005)",2013,16
"Star Wars: Battlefront 2 (Classic, 2005)",2011,2
"Star Wars: Battlefront 2 (Classic, 2005)",2012,4
Poker Night at the Inventory,2013,13
Poker Night at the Inventory,2014,26
Poker Night at the Inventory,2015,10
Poker Night at the Inventory,2012,8
Poker Night at the Inventory,2011,2
Sid Meier's Civilization® V,2013,78
Sid Meier's Civilization® V,2014,253
Sid Meier's Civilization® V,2015,109
Sid Meier's Civilization® V,2012,5
Sid Meier's Civilization® V,2011,4
Sid Meier's Civilization® V,2010,2
Elsword,2014,9
Elsword,2015,11
Elsword,2013,7
Warframe,2015,205
Warframe,2014,349
Warframe,2013,154
Company of Heroes 2,2014,55
Company of Heroes 2,2013,18
Company of Heroes 2,2015,33
Just Cause™ 3,2015,45
Call of Duty® 4: Modern Warfare®,2013,3
Call of Duty® 4: Modern Warfare®,2014,7
Call of Duty® 4: Modern Warfare®,2015,7
Call of Duty® 4: Modern Warfare®,2012,4
Receiver,2014,16
Receiver,2015,3
Receiver,2013,2
Arma 2,2013,4
Arma 2,2014,5
The Walking Dead: Season 2,2015,15
The Walking Dead: Season 2,2014,82
The Walking Dead: Season 2,2013,39
Watch_Dogs™,2015,13
Watch_Dogs™,2014,30
BLOCKADE 3D,2014,2
BLOCKADE 3D,2015,32
Medieval II: Total War™,2015,12
Medieval II: Total War™,2014,12
Medieval II: Total War™,2011,2
Medieval II: Total War™,2013,5
Binary Domain,2013,2
Binary Domain,2014,2
Codename CURE,2015,11
The Forest,2014,165
The Forest,2015,54
Dead Realm,2015,27
theHunter: Primal,2015,10
theHunter: Primal,2014,8
Call of Duty®: Black Ops II - Aqua Personalization Pack,2015,1
Titan Souls,2015,4
A Story About My Uncle,2015,6
Secret Ponchos,2014,2
"Warhammer 40,000: Regicide",2015,6
My Riding Stables: Life with Horses,2014,2
My Riding Stables: Life with Horses,2015,2
Hexcells Infinite,2014,1
Hexcells Infinite,2015,2
FaceRig,2014,13
FaceRig,2015,2
Antichamber,2013,26
Antichamber,2014,25
Antichamber,2015,7
Magicite,2015,16
Magicite,2014,47
Ultimate Tic-Tac-Toe,2015,1
AudioSurf,2013,19
AudioSurf,2014,13
AudioSurf,2012,3
AudioSurf,2015,7
AudioSurf,2011,10
AudioSurf,2010,1
LISA,2015,4
WAKFU,2015,4
WAKFU,2014,8
Homeworld Remastered Collection,2015,11
Just Cause 2,2015,36
Just Cause 2,2012,15
Just Cause 2,2014,114
Just Cause 2,2013,62
Just Cause 2,2011,7
Nether: Resurrected,2014,44
Nether: Resurrected,2015,12
Nether: Resurrected,2013,10
Dead Bits,2014,5
Dead Bits,2015,11
Betrayer,2013,2
Mad Max,2015,38
Call of Juarez® Gunslinger,2014,26
Call of Juarez® Gunslinger,2015,15
Call of Juarez® Gunslinger,2013,12
Brutal Legend,2014,18
Brutal Legend,2013,5
Spec Ops: The Line,2013,24
Spec Ops: The Line,2015,35
Spec Ops: The Line,2014,30
Spec Ops: The Line,2012,2
Wolfenstein: The New Order,2014,38
Wolfenstein: The New Order,2015,24
Tom Clancy's Ghost Recon: Future Soldier™,2015,1
Tom Clancy's Ghost Recon: Future Soldier™,2013,2
Left 4 Dead,2014,17
Left 4 Dead,2012,9
Left 4 Dead,2013,11
Left 4 Dead,2015,1
Left 4 Dead,2011,3
Beatbuddy: Tale of the Guardians,2014,2
The Plan,2014,66
The Plan,2015,15
Subnautica,2015,58
Medal of Honor™,2014,5
Medal of Honor™,2013,6
Medal of Honor™,2015,2
Dungeon Defenders II,2015,39
Dungeon Defenders II,2014,5
Broken Age,2015,6
Broken Age,2014,18
Half-Life 2: Episode Two,2011,5
Half-Life 2: Episode Two,2014,12
Half-Life 2: Episode Two,2015,8
Half-Life 2: Episode Two,2013,2
Half-Life 2: Episode One,2011,2
Half-Life 2: Episode One,2015,9
Half-Life 2: Episode One,2014,4
Half-Life 2: Episode One,2013,6
Half-Life 2: Episode One,2012,2
ZOMBI,2015,1
Romero's Aftermath,2015,13
Call of Duty®: Ghosts,2013,23
Call of Duty®: Ghosts,2014,43
Call of Duty®: Ghosts,2015,11
Grim Dawn,2015,8
Grim Dawn,2013,1
Grim Dawn,2014,2
F.E.A.R. 3,2015,2
F.E.A.R. 3,2013,2
F.E.A.R. 3,2014,6
Primal Carnage,2014,13
Primal Carnage,2015,4
Primal Carnage,2013,10
Primal Carnage,2012,4
PAYDAY 2: Gage Chivalry Pack,2015,2
NEO Scavenger,2014,11
Only If,2014,9
Only If,2015,2
Prison Architect,2014,64
Prison Architect,2015,62
Prison Architect,2013,6
Gear Up,2015,16
Gear Up,2014,6
Blender,2015,6
Little Inferno,2013,14
Little Inferno,2015,11
Little Inferno,2014,9
Little Inferno,2012,1
Warhammer: End Times - Vermintide Sigmar's Blessing,2015,4
PAYDAY™ The Heist,2014,105
PAYDAY™ The Heist,2012,6
PAYDAY™ The Heist,2015,31
PAYDAY™ The Heist,2013,33
PAYDAY™ The Heist,2011,4
Nation Red,2015,1
Nation Red,2013,3
Nation Red,2012,2
Nation Red,2014,3
Monaco: What's Yours Is Mine,2014,47
Monaco: What's Yours Is Mine,2015,7
Monaco: What's Yours Is Mine,2013,10
The Way of Life Free Edition,2015,38
Get Off My Lawn!,2014,1
Fable - The Lost Chapters,2014,14
Fable - The Lost Chapters,2015,2
ArcheBlade™,2015,15
ArcheBlade™,2014,20
ArcheBlade™,2013,6
Commander Keen,2013,2
Commander Keen,2011,2
Commander Keen,2015,2
Prototype™,2014,8
Prototype™,2015,1
Prototype™,2010,2
Prototype™,2013,2
Prototype™,2012,2
Total War™: ROME II - Emperor Edition,2015,20
Total War™: ROME II - Emperor Edition,2014,60
Total War™: ROME II - Emperor Edition,2013,25
Borderlands: The Pre-Sequel,2014,47
Borderlands: The Pre-Sequel,2015,39
Just Cause 2: Multiplayer Mod,2013,56
Just Cause 2: Multiplayer Mod,2015,23
Just Cause 2: Multiplayer Mod,2014,37
Paint the Town Red,2015,9
Goat Simulator,2015,42
Goat Simulator,2014,273
Call of Duty: World at War,2014,25
Call of Duty: World at War,2015,25
Call of Duty: World at War,2013,13
Call of Duty: World at War,2012,1
Scribblenauts Unlimited,2014,25
Scribblenauts Unlimited,2013,5
Scribblenauts Unlimited,2015,4
Wargame: Red Dragon,2015,4
Wargame: Red Dragon,2014,11
Fallout 3: Game of the Year Edition,2015,37
Fallout 3: Game of the Year Edition,2014,23
Fallout 3: Game of the Year Edition,2013,14
Fallout 3: Game of the Year Edition,2011,4
Fallout 3: Game of the Year Edition,2012,4
Sleeping Dogs: Definitive Edition,2015,10
Door Kickers,2014,9
Door Kickers,2015,6
Blockland,2014,14
Blockland,2015,3
Blockland,2013,2
Super Hexagon,2015,18
Super Hexagon,2014,93
Super Hexagon,2013,53
Super Hexagon,2012,2
ORION: Prelude,2015,47
ORION: Prelude,2014,102
ORION: Prelude,2013,4
"Warhammer® 40,000: Dawn of War® - Soulstorm",2015,9
"Warhammer® 40,000: Dawn of War® - Soulstorm",2014,6
World of Guns: Gun Disassembly,2014,32
World of Guns: Gun Disassembly,2015,9
THE KING OF FIGHTERS XIII STEAM EDITION,2015,3
THE KING OF FIGHTERS XIII STEAM EDITION,2014,2
Resident Evil 6 / Biohazard 6,2014,3
Resident Evil 6 / Biohazard 6,2013,2
Resident Evil 6 / Biohazard 6,2015,8
F1 2015,2015,2
Project Zomboid,2015,6
Project Zomboid,2014,40
Project Zomboid,2013,9
Omerta - City of Gangsters,2013,2
Omerta - City of Gangsters,2014,4
Soldier Front 2,2015,8
Soldier Front 2,2014,24
Soldier Front 2,2013,14
Putt-Putt® Joins the Parade,2015,2
Putt-Putt® Goes to the Moon,2015,2
Grand Theft Auto: San Andreas,2015,13
Grand Theft Auto: San Andreas,2014,21
Grand Theft Auto: San Andreas,2012,2
Grand Theft Auto: San Andreas,2013,11
Middle-earth™: Shadow of Mordor™,2014,86
Middle-earth™: Shadow of Mordor™,2015,40
Castle Story,2013,2
Castle Story,2014,2
Baldur's Gate: Enhanced Edition,2015,2
Baldur's Gate: Enhanced Edition,2014,1
Wasteland 2: Director's Cut,2014,4
Wasteland 2: Director's Cut,2015,4
Wasteland 2: Director's Cut,2013,2
The Binding of Isaac: Rebirth,2015,89
The Binding of Isaac: Rebirth,2014,92
Star Trek Online,2015,4
Star Trek Online,2014,15
Star Trek Online,2013,4
Interstellar Marines,2013,4
Interstellar Marines,2015,19
Interstellar Marines,2014,16
Dishonored,2013,36
Dishonored,2014,72
Dishonored,2012,12
Dishonored,2015,38
Besiege,2015,95
Castlevania: Lords of Shadow 2,2015,1
Castlevania: Lords of Shadow 2,2014,2
Stranded Deep,2015,88
Crysis,2014,6
Crysis,2015,4
To the Moon,2013,5
To the Moon,2014,49
To the Moon,2015,19
To the Moon,2012,4
Resident Evil: Operation Raccoon City,2014,2
Batman™: Arkham Origins,2013,21
Batman™: Arkham Origins,2014,50
Batman™: Arkham Origins,2015,20
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2013,6
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2014,16
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2015,3
Ace of Spades: Battle Builder,2015,14
Ace of Spades: Battle Builder,2013,34
Ace of Spades: Battle Builder,2014,61
Verdun,2015,57
Verdun,2014,38
Verdun,2013,5
Saints Row 2,2015,14
Saints Row 2,2014,22
Saints Row 2,2011,8
Saints Row 2,2013,4
Rock of Ages,2014,3
Rock of Ages,2013,2
Crusader Kings II,2013,10
Crusader Kings II,2015,21
Crusader Kings II,2014,25
Crusader Kings II,2012,2
Batman: Arkham City - Game of the Year Edition,2014,47
Batman: Arkham City - Game of the Year Edition,2013,33
Batman: Arkham City - Game of the Year Edition,2015,26
Far Cry® 2: Fortune's Edition,2013,5
Far Cry® 2: Fortune's Edition,2014,7
Far Cry® 2: Fortune's Edition,2015,2
State of Decay,2013,23
State of Decay,2014,72
State of Decay,2015,8
SPORE™,2014,35
SPORE™,2015,8
SPORE™,2013,3
SPORE™,2012,2
Race The Sun,2015,10
Race The Sun,2014,14
Race The Sun,2013,3
Always Sometimes Monsters,2014,8
fault - milestone two side:above,2015,4
Fallout: New Vegas,2014,91
Fallout: New Vegas,2015,81
Fallout: New Vegas,2013,30
Fallout: New Vegas,2012,9
Fallout: New Vegas,2011,5
Fallout: New Vegas,2010,2
Sleeping Dogs,2014,41
Sleeping Dogs,2013,30
Sleeping Dogs,2015,5
Sleeping Dogs,2012,1
Trials Fusion™,2014,6
Five Nights at Freddy's,2015,27
Five Nights at Freddy's,2014,67
Team Fortress Classic,2015,7
Team Fortress Classic,2014,7
Guns of Icarus Online,2015,29
Guns of Icarus Online,2014,65
Guns of Icarus Online,2013,14
POSTAL 2,2015,40
POSTAL 2,2014,33
POSTAL 2,2013,11
WORLD END ECONOMiCA episode.01,2015,3
The Lord of the Rings Online™,2015,7
The Lord of the Rings Online™,2014,15
The Lord of the Rings Online™,2013,2
The Lord of the Rings Online™,2012,2
Card Hunter,2015,8
Dungeonland,2013,8
Dungeonland,2014,7
Melody's Escape,2014,6
Melody's Escape,2015,2
Planetary Annihilation: TITANS,2015,2
Tales from the Borderlands,2014,26
Tales from the Borderlands,2015,42
Borderlands,2013,15
Borderlands,2014,13
Borderlands,2012,11
Borderlands,2011,9
Borderlands,2015,11
Front Mission Evolved,2012,2
And Yet It Moves,2015,1
Dungeons of Dredmor,2011,4
Dungeons of Dredmor,2014,6
Bastion,2011,12
Bastion,2013,29
Bastion,2014,47
Bastion,2012,17
Bastion,2015,15
Alien Swarm,2010,7
Alien Swarm,2015,11
Alien Swarm,2013,24
Alien Swarm,2014,55
Alien Swarm,2011,7
Alien Swarm,2012,15
Amnesia: The Dark Descent,2010,2
Amnesia: The Dark Descent,2015,8
Amnesia: The Dark Descent,2014,12
Amnesia: The Dark Descent,2012,5
Amnesia: The Dark Descent,2013,7
Amnesia: The Dark Descent,2011,2
Desktop Dungeons,2013,1
Desktop Dungeons,2014,4
Fistful of Frags,2014,97
Fistful of Frags,2015,47
The Binding of Isaac: Afterbirth,2015,28
Assassin's Creed 2 Deluxe Edition,2015,11
Assassin's Creed 2 Deluxe Edition,2014,19
Assassin's Creed 2 Deluxe Edition,2013,6
Amnesia: A Machine for Pigs,2015,2
Amnesia: A Machine for Pigs,2014,3
Amnesia: A Machine for Pigs,2013,2
AdVenture Capitalist,2015,127
Clicker Heroes,2015,83
ARMA: Cold War Assault,2014,5
EVE Online,2013,5
EVE Online,2011,2
EVE Online,2015,3
Spiral Knights,2015,22
Spiral Knights,2013,48
Spiral Knights,2014,86
Spiral Knights,2012,10
Spiral Knights,2011,8
Fishing Planet,2015,18
Bloody Good Time,2014,3
Dead Space™ 2,2015,1
Dead Space™ 2,2014,1
Dead Space™ 2,2013,2
War for the Overworld,2015,4
War for the Overworld,2014,4
Fingerbones,2015,4
Kingdom Rush,2015,3
Kingdom Rush,2014,20
Endless Legend™,2015,9
Endless Legend™,2014,14
Project CARS,2015,10
Dungeon of the Endless™,2015,6
Dungeon of the Endless™,2014,8
Dungeon of the Endless™,2013,4
RWBY: Grimm Eclipse,2015,22
3DMark,2015,4
STARWHAL,2014,11
Free to Play,2014,82
Free to Play,2015,6
Defy Gravity Extended,2015,2
Defy Gravity Extended,2014,10
Counter-Strike: Condition Zero,2015,7
Counter-Strike: Condition Zero,2011,2
Counter-Strike: Condition Zero,2014,3
Counter-Strike: Condition Zero,2013,2
Dying Light,2015,85
Time Clickers,2015,19
Eldritch,2014,4
Eldritch,2015,1
Mabinogi,2014,2
Mabinogi,2015,4
the static speaks my name,2015,12
DiRT Rally,2015,15
Tomb Raider,2014,93
Tomb Raider,2013,49
Tomb Raider,2015,56
Magic 2014 — Duels of the Planeswalkers,2014,7
Magic 2014 — Duels of the Planeswalkers,2013,5
Magic 2014 — Duels of the Planeswalkers,2015,2
NotGTAV,2015,19
Quake Live™,2014,25
Quake Live™,2015,10
Geometry Wars: Retro Evolved,2014,6
Blood Bowl 2,2015,1
DCS World,2014,4
DCS World,2015,4
DCS World,2013,4
Sid Meier's Civilization®: Beyond Earth™,2015,24
Sid Meier's Civilization®: Beyond Earth™,2014,17
The Promised Land,2014,2
Half-Life 2: Deathmatch,2013,7
Half-Life 2: Deathmatch,2011,4
Half-Life 2: Deathmatch,2014,6
Call of Duty®: Black Ops II,2014,91
Call of Duty®: Black Ops II,2013,21
Call of Duty®: Black Ops II,2015,25
Lambda Wars Beta,2015,5
Lambda Wars Beta,2014,7
